=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
74: CA	8943	8852	17731	25872	46560	62231	61488	61187	70933	75080	84916	102345	99843	102340	113205	105264	129840	127224	144730	151254	140336	142048	152750	167883	36960			
75: QoQ		-0.01	1.0	0.46	0.8	0.34	-0.01	-0.0	0.16	0.06	0.13	0.21	-0.02	0.03	0.11	-0.07	0.23	-0.02	0.14	0.05	-0.07	0.01	0.08	0.1	-0.78			
76: YoY					4.21	6.03	2.47	1.36	0.52	0.21	0.38	0.67	0.41	0.36	0.33	0.03	0.3	0.24	0.28	0.44	0.08	0.12	0.06	0.11	-0.74			
77: MX	3883	25455	30840	31771	27187	28908	25414	37385	7851																			
78: QoQ		5.56	0.21	0.03	-0.14	0.06	-0.12	0.47	-0.79																			
79: YoY					6.0	0.14	-0.18	0.18	-0.71																			
80: AU		10118	15379	15062	3693																							
81: QoQ			0.52	-0.02	-0.75																							
82: YoY																												
85: 		avg. CPA/quarter				avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1
86: 	CA '20	18.8			CA '21	25.76	0.37	0.37	CA '22	28.39	0.1	0.51	CA '23	29.23	0.03	0.55	CA '24	36.02	0.23	0.92	CA '25	44.23	0.23	1.35	CA '26	63.41	0.43	2.37
87: 	MX '24	13.96			MX '25	12.3	-0.12	-0.12	MX '26	17.77	0.45	0.27	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
88: Brand Quarterly CPA	AU '25	42.44			AU '26	63.14	0.49	0.49	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
89: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
90: CA	6.48	22.52	19.66	26.54	18.92	21.55	35.19	27.39	20.87	28.42	33.41	30.85	25.52	30.71	28.88	31.82	23.68	29.66	47.06	43.7	34.9	42.0	54.33	45.71	63.41			
91: QoQ		2.48	-0.13	0.35	-0.29	0.14	0.63	-0.22	-0.24	0.36	0.18	-0.08	-0.17	0.2	-0.06	0.1	-0.26	0.25	0.59	-0.07	-0.2	0.2	0.29	-0.16	0.39			
92: YoY					1.92	-0.04	0.79	0.03	0.1	0.32	-0.05	0.13	0.22	0.08	-0.14	0.03	-0.07	-0.03	0.63	0.37	0.47	0.42	0.15	0.05	0.82			
93: MX	20.49	23.67	11.15	7.05	7.35	15.17	16.14	10.52	17.77																			
94: QoQ		0.16	-0.53	-0.37	0.04	1.06	0.06	-0.35	0.69																			
95: YoY					-0.64	-0.36	0.45	0.49	1.42																			
96: AU		22.19	67.63	37.51	63.14																							
97: QoQ			2.05	-0.45	0.68																							
98: YoY																												
