Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
venta por mayoreo,Exact match (close variant),None,MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],5,20,25.00%,USD,2.15,10.75,Keyword
herramientas para revender,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",1,2,50.00%,USD,7.49,7.49,Keyword
venta de productos a mayoreo,Exact match (close variant),None,MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],1,1,100.00%,USD,1.38,1.38,Keyword
articulos promocionales,Phrase match (close variant),None,MX - Generic,Core_Enterprises_Products_Phrase,"""productos para empresas""",5,73,6.85%,USD,2.09,10.44,Keyword
gorras lisas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.43,1.43,Keyword
refrescos a mayoreo,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",1,2,50.00%,USD,3.42,3.42,Keyword
horno eléctrico industrial para panadería,Phrase match (close variant),None,MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",2,1,200.00%,USD,3.49,6.98,Keyword
proveedores de cajas de cartón,Phrase match (close variant),None,MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",1,6,16.67%,USD,1.75,1.75,Keyword
paginas de venta de productos online,Phrase match (close variant),None,MX - Generic,Enterprises_Shop_Phrase,"""tienda online para negocios""",1,2,50.00%,USD,1.32,1.32,Keyword
tienda de plásticos mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,4,25.00%,USD,1.28,1.28,Keyword
lonchera plastico mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,1,100.00%,USD,3.04,3.04,Keyword
veladoras de mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,3,33.33%,USD,1.81,1.81,Keyword
proveedores a mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",2,1,200.00%,USD,1.45,2.90,Keyword
bolsas para mujer mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,4,50.00%,USD,3.07,6.14,Keyword
catálogo mayoreo trastes de plastico,Phrase match (close variant),None,MX - Generic,Catalog_Suppliers_Phrase,"""catálogo proveedor""",2,2,100.00%,USD,2.88,5.76,Keyword
distribuidores de productos gourmet en méxico,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",1,2,50.00%,USD,3.43,3.43,Keyword
tradewheel,Phrase match (close variant),None,MX - Generic,B2B_Shop_Phrase,"""tienda en línea b2b""",1,3,33.33%,USD,1.85,1.85,Keyword
proveedores ferreteros en mexico,Phrase match (close variant),None,MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",1,2,50.00%,USD,1.86,1.86,Keyword
materia prima para productos de limpieza a mayoreo,Phrase match (close variant),None,MX - Generic,Procurement_Products_Phrase,"""suministro de productos""",1,2,50.00%,USD,4.15,4.15,Keyword
sillas plegables mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,22,9.09%,USD,2.41,4.81,Keyword
jeans de mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,2,50.00%,USD,1.68,1.68,Keyword
quiminet mexico,Phrase match (close variant),None,MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",1,10,10.00%,USD,5.47,5.47,Keyword
abanicos por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,2,50.00%,USD,1.80,1.80,Keyword
