Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
servicios comerciales amazon méxico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",2,40,5.21
bocinas chinas por mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,2,5.1
tenis originales para revender,Phrase match (close variant),MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",2,4,2.07
termometros digitales mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,3,3.58
tienda de plásticos mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",2,7,3.2
productos chinos para vender,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",2,5,5.63
toallas femeninas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,4,2.7
bocinas jbl mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,5,1.91
venta de velas por mayoreo df,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,2,2.84
dulces americanos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,7,4.75
joyeria mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",2,16,4.83
dulces chinos mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,3,2.51
amazon business telefono,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",2,11,5.92
equipo de cocina para restaurante,Phrase match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,15,5.89
kinder sorpresa mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,8,2.51
cafetera profesional para cafeteria,Exact match (close variant),MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",2,5,4.2
vaso jaibolero mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",2,18,1.99
donde comprar ropa por mayoreo para vender,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,6,1.16
cosas por mayoreo para vender en méxico,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,2,2.59
joyería de acero inoxidable por mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",2,11,2.54
termos cilindros por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,3,6.26
botellas pet mayoreo precio,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,9,3.51
donde puedo surtir para poner una dulcería,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,27,3.21
proveedores de materia prima,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,6,1.85
hornos de gas para pan,Phrase match (close variant),MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",2,4,8.21
sangría señorial distribuidor,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,9,2.42
jabon mayoreo,Exact match (close variant),MX - Janitorial,Soap_Wholesale_Phrase,"""mayorista de jabón""",2,6,1.53
proveedores de papeleria mayoreo,Phrase match (close variant),MX - Janitorial,Paper_Wholesale_Phrase,"""mayorista de productos de papel""",2,6,2.04
mops para limpieza industrial,Phrase match (close variant),MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",2,1,2.8
exhibidor de gorras para negocio,Phrase match (close variant),MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",2,3,2.32
cargadores iphone mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,4,4.14
cosas para escritorio,Exact match (close variant),MX - Office,Generic_Exact,[equipamiento de escritorio],2,16,3.71
inoxforni horno,Phrase match (close variant),MX - Crafts,Professional Tools_Distributor_Phrase,"""distribuidor de hornos""",2,16,1.79
vm top mayorista,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",2,4,6.98
donde comprar mercancia china para vender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,3,4.9
amazon mexico compras,Broad match,MX - Generic AMZ,Generic_Purchasing_Enterprises_Broad,comprar como empresa amazon,2,2,9.74
sombrillas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,11,2.77
compra de dulces por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[chucherías al por mayor],2,9,5.7
espejos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,23,5.72
playeras de algodon mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,27,2.54
carteras a mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,1,3.9
limpiapipas mayoreo guadalajara,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,2,2.38
vaso termico mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,7,3.45
neceser mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,8,4.04
boneless por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,17,2.48
atun dolores mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,2,2.89
gorras mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,19,3.19
lonas para tiendas de abarrotes,Phrase match (close variant),MX - Generic,Enterprises_Phrase,"""accesorios comerciales""",2,5,6.2
quiminet mexico,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",2,27,7.13
distribuidores de productos desechables,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,2,4.06
tiendas mayoristas en méxico,Phrase match (close variant),MX - Generic,Wholesales_Distributors_Phrase,"""distribución mayorista""",2,7,2.55
velas aromaticas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,6,2.7
trastes de plastico mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,5,4.57
catálogo de proveedores,Exact match,MX - Generic,Catalog_Suppliers_Exact,[catálogo de proveedores],2,30,7.45
abasteo mx,Phrase match (close variant),MX - Generic,Purchasing_Commercial Customers_Phrase,"""compras industriales""",2,23,11.61
kinder delice mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,7,3.61
proveedor de carnes para restaurantes,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,4,4.6
cafetera marzocco,Phrase match (close variant),MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",2,13,3
lentes al mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,6,2.45
memorias usb al por mayor,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,6,3.91
venta de abanicos de mano por mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,6,2.72
distribuidores de china en mexico,Phrase match (close variant),MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor comercial""",2,2,2.46
envases por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,11,5.9
venta de productos de limpieza por mayoreo en monterrey,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,6,3.63
encendedores clipper mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,4,0.98
proveedor de bolsas,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,8,3.12
artículos promocionales económicos,Phrase match (close variant),MX - Generic,Core_Enterprises_Products_Phrase,"""productos para empresas""",2,14,2.58
mesas para cafeteria baratas,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para cafetería""",2,10,2.21
campana de cocina industrial,Phrase match (close variant),MX - Food,Products_Machines_Phrase,"""electrodomésticos para restaurante""",2,4,2.42
vasos para cafe personalizados,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,7,3.2
mercado libre por mayoreo,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",2,4,1.36
papeleria cdmx mayoreo,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",2,8,3.5
quiero ser distribuidor mayorista,Phrase match (close variant),MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor comercial""",2,3,5.25
tote bags mayoreo,Phrase match (close variant),MX - Apparel,Accessories_Wholesales_Phrase,"""bolsas de tela al por mayor""",2,25,2.97
cerveza carta blanca por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor bebidas""",2,2,2.92
muebles para taqueria,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""mobiliario de restaurante""",2,2,2.34
llaveros personalizados mayoreo,Phrase match (close variant),MX - Automotive,Exterior Accessories_Wholesale_Phrase,"""llaveros al por mayor""",2,4,2.59
mesa de reunión oficina,Exact match (close variant),MX - Office,Furniture_Exact,[mesa conferencias],2,3,7
gorras gamuza mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,3,3.47
compra en mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],2,4,11.15
proveedores online,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,4,2.71
proveedores para emprender,Exact match (close variant),MX - Generic,Suppliers_Enterprises_Exact,[proveedores para negocios],2,4,5.52
sillas y mesas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,9,2.52
cosmetiqueras por mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,7,3.37
libretas economicas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,6,3.03
amazon merch on demand mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",2,4,9.49
botellas de vidrio 1 litro mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,8,2.63
balones economicos por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""equipo al por mayor""",2,7,4.5
licuadora para negocio,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",2,17,3.26
plásticos para el hogar mayoreo guadalajara,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,6,4.63
distribuidora de abarrotes por mayoreo,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",2,8,13.58
proveedores de farmacia,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,7,3
tiendas de mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,22,2.6
compra de tenis originales por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,3,1.92
venta de sillas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,3,1.58
proveedores de productos de limpieza,Exact match (close variant),MX - Janitorial,Suppliers_Exact,[proveedores de artículos de limpieza],2,40,6.27
papeleria cornejo mayoreo,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",2,7,6.56
archivero oficio,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,14,3.02
papeleria por mayoreo en monterrey,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",2,2,1.5
distribuidora de celulares al por mayor,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",2,7,4.21
proveedores de lencería al por mayor,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,1,1.48
cuentas amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",2,23,1.64
perfumes 1.1 al por mayor,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,2,3.56
proveedores de pantalones american eagle,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,8,1.71
sillas de madera para restaurante,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""mobiliario de restaurante""",2,5,1.18
proveedores de aceites y lubricantes,Phrase match,MX - Food,Condiments_Suppliers_Phrase,"""proveedores aceite""",2,4,4.8
gomitas al mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,13,2.64
proveedores de leche en polvo en méxico,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""productos lácteos al por mayor""",2,17,5.14
ferrero rocher mayoreo,Phrase match (close variant),MX - Food,Food_Suppliers_Phrase,"""proveedores de chocolate""",2,6,2.82
amazon business mx,Exact match (close variant),MX - Brand Exact,Pure_Exact,[amazon negocios mexico],2,8,1
mueble para caja registradora,Phrase match (close variant),MX - Shops,Shops_Furniture_Phrase,"""mobiliario para tiendas""",2,4,1.65
equipo de oficina,Exact match (close variant),MX - Office,Products_Exact,[equipamiento oficina],2,95,6.35
proveedor para papelerias,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,10,1.48
vitrina mostrador para negocio,Phrase match (close variant),MX - Shops,Shops_Furniture_Phrase,"""mobiliario para tiendas""",2,5,1.33
pacas de ropa deportiva premium,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,8,1.69
azúcar mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,4,2.53
proveedores de dulces al mayoreo en monterrey,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,18,2.74
quimicos de limpieza,Phrase match (close variant),MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",2,7,3.78
concentrado para productos de limpieza,Phrase match (close variant),MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",2,2,3.32
hot wheels baratos al por mayor,Phrase match (close variant),MX - Shops,Shops_Wholesalers_Toys Shop_Phrase,"""mayoristas de juguetes""",2,2,1.49
memoria usb 16gb mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,6,3.6
premios deshidratados para perros mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Pet Shop_Phrase,"""venta al por mayor de alimentos para mascotas""",2,13,4.1
sillas de oficina en queretaro,Phrase match (close variant),MX - Office,Office Furniture_Distributors_Phrase,"""distribuidores de sillas de oficina""",2,3,4.12
suministros para hoteles,Exact match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,3,5.88
venta de dulce por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de dulces""",2,1,2.24
empresas que venden por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],2,2,2.26
gafas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,1,3
velas aromáticas mayoreo monterrey,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,1,2.06
vasos de chupon mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,6,2.95
calcetines mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,8,2.84
paca de ropa nueva,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,8,1.5
cristaleria para restaurante,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",2,7,3.8
refrigerador para cafeteria,Phrase match (close variant),MX - Food,Products_Machines_Phrase,"""electrodomésticos para restaurante""",2,3,2.99
skwinkles mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,2,3.46
vajillas para cafeteria,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",2,11,1.77
muebles para restaurante,Exact match (close variant),MX - Food,Furniture_Restaurant_Exact,[mobiliario de restaurante],2,15,1.71
amazon cuenta empresarial,Exact match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",2,4,0.51
venta de toallas de baño por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,3,4.91
alibaba com mexico,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",2,17,2.76
ventas al por mayor,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],2,28,9.02
distribuidor de productos de higiene personal,Phrase match (close variant),MX - Generic,Procurement_Suppliers_Phrase,"""suministro distribuidor""",2,4,3.77
mercado libre mayoreo,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",2,54,1.46
car audio mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,4,2
distribuidor de cosas chinas,Phrase match (close variant),MX - Generic,Procurement_Suppliers_Phrase,"""suministro distribuidor""",2,4,5.08
cajas para joyeria por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,17,2.73
proveedores de tenis originales por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""venta directa al por mayor""",2,20,2.98
equipo para restaurantes cdmx,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,4,4.75
máquina de hielo industrial 1 tonelada,Phrase match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",2,2,3.1
distribuidor de aceites para motos,Phrase match,MX - Food,Condiments_Distributor_Phrase,"""distribuidor de aceite""",2,1,4.68
alpura proveedores,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos lácteos""",2,6,3.62
comprar productos chinos para revender,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,11,2.92
botellas de agua mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,20,4.71
mercancía china para vender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,11,3.08
proveedores de higiene personal,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedores comerciales""",2,2,10.64
libretas personalizadas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,11,4.79
souvenirs para fiestas mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesalers_Gifts_Phrase,"""mayorista de regalos""",2,2,2.08
papel higiénico institucional,Phrase match (close variant),MX - Janitorial,Paper_Phrase,"""papel higiénico comercial""",2,20,1.53
bolsas para sublimar por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,5,2.82
encuentra proveedores,Exact match (close variant),MX - Generic,Suppliers_Enterprises_Exact,[proveedores para negocios],2,2,19.34
mochilas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,2,1.58
bolsas para mandado mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,5,2.83
vajilla para cafeteria por mayor,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",2,3,2.25
cafetera victoria arduino,Phrase match (close variant),MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",2,2,2.33
amazon business precio,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",2,12,2.38
proveedores de marcas,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,1,2.98
proveedor de dulces al mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[chucherías al por mayor],2,31,2.47
blusas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,3,2.6
amazon b2b,Phrase match (close variant),MX - Generic,B2B_Enterprise_Phrase,"""ventas b2b""",2,3,3.58
artículos para tienda todo a 5 pesos,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,2,2.72
tienda mayoreo,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",2,6,4.28
proveedores chinos en mexico,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,2,6.92
dulces x mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[chucherías al por mayor],2,2,6.35
gel antibacterial mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,12,3.55
abarrotes por mayoreo,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",2,7,3.4
suplementos por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,9,3.58
focos led mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,6,2.97
encendedores bic por mayor,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,2,2.93
gel antibacterial precio mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,3,2.74
mayoreo total mexico,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,3,1.72
calcetines por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,7,3.45
comprar productos al por mayor para vender,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],2,6,4.5
fabricantes de balones por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""equipo al por mayor""",2,14,6.12
gorras económicas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,10,2.46
termos para personalizar mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,5,3.2
silla plegable mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,8,4.26
donde comprar cosas baratas para revender,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,13,2.21
termos por mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",2,9,5.4
proveedores para tienda de regalos en méxico,Phrase match (close variant),MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",2,3,14.72
cosas de mayoreo,Exact match (close variant),MX - Generic,Wholesales_Products_Exact,[artículos al por mayor],2,13,6.39
al por mayor,Exact match,MX - Generic,Wholesales_Phrase,"""al por mayor""",2,16,1.17
proveedores de china directo,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,3,4.96
mayoreo para revender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,15,1.44
sandalias economicas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,2,3.29
proveedores mexico,Phrase match (close variant),MX - Generic,Procurement_Products_Phrase,"""suministro de productos""",2,17,1.03
proveedores mexico,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,21,1.27
mayorista,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],2,29,1.4
campanas para restaurante usadas,Phrase match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,3,6
tazas por mayoreo,Exact match (close variant),MX - Food,Kitchen Tools_Wholesalers_Exact,[mayoristas de tazas],2,27,4.51
venta de dulces por mayoreo cdmx,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,12,3.66
proveedores de refacciones automotrices por mayoreo,Phrase match (close variant),MX - Automotive,Supply_Phrase,"""artículos para vehículos""",2,7,2.6
vasos de plástico con tapa mayoreo,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,26,1.74
despensas mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,8,3.32
huevo kinder mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de dulces""",2,2,2.13
promocionales premium,Phrase match (close variant),MX - Generic,Core_Enterprises_Products_Phrase,"""productos para empresas""",2,11,5.72
abarroteras mayoristas en guadalajara,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,10,3.02
termos de mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,7,3
compra en 1688,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",2,5,3.99
gorras por mayoreo originales,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,2,2.88
plataformas b2b,Phrase match (close variant),MX - Generic,B2B_Enterprise_Phrase,"""ventas b2b""",2,15,3.94
ventas de mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],2,30,4.29
abarrotes mayoreo a domicilio,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",2,2,1.96
botellas para shampoo mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,15,2.45
proveedores mexicanos,Phrase match (close variant),MX - Generic,Procurement_Products_Phrase,"""suministro de productos""",2,18,2.56
playeras 100 algodon mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,7,1.64
saldos de ropa americana,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,5,1.81
ropa de mayoreo para boutique,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,6,2.17
proveedor de ropa,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,9,2.52
mayoreo de lociones de victoria secret,Phrase match (close variant),MX - Beauty,Fragrance_Distributors_Phrase,"""distribuidores perfume""",2,2,3.97
venta de maquillaje al por mayor,Exact match (close variant),MX - Beauty,Makeup_Distributors_Exact,[distribuidores de maquillaje],2,3,6.57
proveedores de ropa online,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,8,1.49
proveedores de vestidos de fiesta en méxico,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,3,2.1
