Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
cosas para revender,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",18,90,18.35
mobiliario para restaurante,Exact match (close variant),MX - Food,Furniture_Restaurant_Exact,[mobiliario de restaurante],18,139,17.22
maquillaje a mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],18,81,20.98
amazon para negocios,Exact match,MX - Brand Exact,Pure_Exact,[amazon para negocios],18,44,9.29
amazon empresas,Broad match,MX - Generic AMZ,Generic_Wholesales_Broad,amazon compra por mayor,18,51,3.54
libretas mayoreo,Exact match (close variant),MX - Office,Office Supplies_Wholesalers_Exact,[cuadernos mayorista],18,73,49.48
proveedores de maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],18,84,33.94
vendor central,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",18,312,123.47
proveedores de perfumes,Exact match (close variant),MX - Beauty,Fragrance_Wholesale_Exact,[perfume al por mayor],18,75,18.66
office depot cdmx,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",18,329,32.72
proveedor de gorras,Exact match (close variant),MX - Apparel,Accessories_Distributor_Exact,[distribuidores de gorras],17,95,17.72
trituradora de papel,Exact match (close variant),MX - Office,Office Organization_Procurement_Exact,[trituradora de documentos],17,202,20.63
abasteo mx,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",17,255,47
cosmetiqueras mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",17,97,25.37
cupon amazon business primera compra,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",17,56,6.03
vasos de vidrio por mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",17,148,28.91
cupon primera compra amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",17,60,2.24
descuento amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",17,55,1.62
amazon business como funciona,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",17,96,43.65
