Keyword status	Keyword	Match type	Campaign	Ad group	Status	Impr.	Clicks	Cost	Final URL
Enabled	"""accesorios hotel"""	Phrase match	MX - Hospitality	Generic_Phrase	Limited	34	1	1.29	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_354738230363
Enabled	"""ropa servicio"""	Phrase match	MX - Hospitality	Clothing_Phrase	Limited	196	23	47.71	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_1434725977349
Enabled	"""ropa para hotel"""	Phrase match	MX - Hospitality	Clothing_Phrase	Limited	215	27	66.9	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_357497432141
Enabled	"""jabón para hotel"""	Phrase match	MX - Hospitality	Products_Phrase	Limited	148	16	30.66	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_1178285033986
Enabled	"""sábanas para hoteles"""	Phrase match	MX - Hospitality	Products_Phrase	Limited	5	1	2.14	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_361136254231
Enabled	"""mobiliario para hotel"""	Phrase match	MX - Hospitality	Furniture_Phrase	Limited	39	5	20.68	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_341496966643
Enabled	"""facturacion en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	47	4	13.02	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844880
Enabled	"""facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	167	22	45.74	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_1990602979189
Enabled	"""amazon factura"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	467	78	347.23	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_363476382413
Enabled	"""como facturar por amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	2	1	2.84	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195845080
Enabled	"""cómo facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	660	76	359.74	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844200
Enabled	"""a cuenta amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	678	95	175.96	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_1599183172056
Enabled	"""tienda en línea b2b"""	Phrase match	MX - Generic	B2B_Shop_Phrase	Limited	260	11	33.81	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_967049617338
Enabled	"""empresa b2b"""	Phrase match	MX - Generic	B2B_Shop_Phrase	Limited	667	22	74.14	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_301633387342
Enabled	[artículos al por mayor]	Exact match	MX - Generic	Wholesales_Products_Exact	Limited	613	86	151.07	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_64637002281
