Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Impr.,Clicks,Cost,CTR,Impr. (Abs. Top) %,Keyword ID,Final URL,Search abs. top IS,Search lost abs. top IS (rank),Search exact match IS,Click share,Quality Score,Quality Score (hist.),Exp. CTR (hist.),Landing page exp. (hist.),Ad relevance (hist.),Base max. CPC,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[mayoristas de tazas],Exact match,MX - Food,Kitchen Tools_Wholesalers_Exact,Limited,below first page bid,USD,2.01,17,2,4.44,11.76%,82.35%,357135004019,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_357135004019,20.59%,79.41%,25.00%,21.91%, --, --, --, --, --,2.01,0.00%,0.00,2.22,0.00
Enabled,"""productos para hostelería""",Phrase match,MX - Food,Products_Phrase,Limited,below first page bid,USD,0.44,"1,799",147,342.20,8.17%,59.84%,420776343316,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_420776343316,13.63%,86.19%,25.00%,26.08%, --, --, --, --, --,0.37,0.00%,0.00,2.33,0.00
Enabled,"""máquinas de hielo profesionales""",Phrase match,MX - Food,Restaurant_Phrase,Limited,below first page bid,USD,0.39,511,53,94.49,10.37%,61.57%,2279231456611,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_2279231456611,< 10%,> 90%,12.39%,10.61%, --, --, --, --, --,0.41,0.00%,0.00,1.78,0.00
Enabled,"""uniforme para restaurante""",Phrase match,MX - Food,Clothing_Restaurant_Phrase,Eligible,,USD,2.01,298,24,48.48,8.05%,61.92%,306838052869,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_306838052869,< 10%,> 90%,37.04%,11.85%, --, --, --, --, --,1.67,0.00%,0.00,2.02,0.00
Enabled,"""decoración para restaurante""",Phrase match,MX - Food,Deco_Restaurant_Phrase,Limited,below first page bid,USD,0.76,34,6,5.22,17.65%,78.13%,335604144925,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_335604144925,< 10%,> 90%,< 10%,10.40%, --, --, --, --, --,0.76,0.00%,0.00,0.87,0.00
Enabled,"""proveedores vasos""",Phrase match,MX - Food,Glassware_Suppliers_Phrase,Limited,low quality,USD,2.41,"1,827",178,429.13,9.74%,59.47%,1434354848293,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1434354848293,10.63%,87.75%,23.68%,19.44%,1, --, --, --, --,2.41,0.00%,0.00,2.41,0.00
Enabled,[utensilios de cocina al por mayor],Exact match,MX - Food,Food_Wholesale_Exact,Limited,below first page bid,USD,0.18,4,1,0.45,25.00%,0.00%,319477362669,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_319477362669,< 10%,> 90%,30.77%,15.52%, --, --, --, --, --, --,0.00%,0.00,0.45,0.00
Enabled,[café al por mayor],Exact match,MX - Food,Food_Wholesale_Exact,Limited,below first page bid,USD,0.64,3,1,0.88,33.33%,33.33%,338857596896,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_338857596896,< 10%,> 90%,21.43%,11.82%, --, --, --, --, --,0.64,0.00%,0.00,0.88,0.00
Enabled,"""tienda de hostelería""",Phrase match,MX - Food,Shop_Phrase,Limited,below first page bid,USD,1.16,"1,275",122,141.60,9.57%,60.78%,1464062149900,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1464062149900,12.55%,87.06%,40.00%,24.30%, --, --, --, --, --,0.76,0.00%,0.00,1.16,0.00
Enabled,[mobiliario de restaurante],Exact match,MX - Food,Furniture_Restaurant_Exact,Limited,below first page bid,USD,1.16,99,17,17.64,17.17%,19.57%,302336816076,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_302336816076,< 10%,> 90%,26.44%,15.32%,3,3,Average,Below average,Below average,1.16,0.00%,0.00,1.04,0.00
Enabled,[mesas para restaurante],Exact match,MX - Food,Furniture_Restaurant_Exact,Limited,below first page bid,USD,0.31,120,18,21.69,15.00%,19.49%,3373900033,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_3373900033,< 10%,> 90%,20.96%,15.44%,3,3,Average,Below average,Below average,0.26,0.00%,0.00,1.20,0.00
Enabled,"""venta de bebidas al por mayor""",Phrase match,MX - Food,Wholesales_Food_Phrase,Limited,below first page bid,USD,1.40,125,18,30.93,14.40%,56.19%,325598124468,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_325598124468,< 10%,> 90%,< 10%,< 10%, --, --, --, --, --,1.40,0.00%,0.00,1.72,0.00
Enabled,[muebles para cafetería],Exact match,MX - Food,Furniture_Restaurant_Exact,Limited,below first page bid,USD,1.67,202,27,43.67,13.37%,41.11%,319594657562,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_319594657562,17.25%,82.52%,42.42%,30.26%,3,3,Average,Below average,Below average,1.67,0.00%,0.00,1.62,0.00
Enabled,"""accesorios para bar""",Phrase match,MX - Food,Products_Restaurant_Phrase,Limited,below first page bid,USD,1.67,227,13,28.25,5.73%,57.28%,345246557683,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_345246557683,< 10%,> 90%,< 10%,12.42%, --, --, --, --, --,1.67,0.00%,0.00,2.17,0.00
Enabled,"""vajilla profesional""",Phrase match,MX - Food,Cultlery_Phrase,Limited,low quality,USD,3.47,872,100,239.41,11.47%,74.62%,362018033412,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_362018033412,24.82%,74.06%,53.85%,31.93%,2,2,Below average,Below average,Average,3.47,0.00%,0.00,2.39,0.00
Enabled,"""proveedores tazas""",Phrase match,MX - Food,Kitchen Tools_Suppliers_Phrase,Limited,below first page bid,USD,1.01,522,54,90.40,10.34%,71.21%,405640323353,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_405640323353,25.55%,73.74%,38.24%,35.04%, --, --, --, --, --,0.49,0.00%,0.00,1.67,0.00
Enabled,"""proveedores aceite""",Phrase match,MX - Food,Condiments_Suppliers_Phrase,Limited,below first page bid,USD,2.41,107,12,16.64,11.21%,53.25%,848448844221,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_848448844221,< 10%,> 90%,13.04%,< 10%, --, --, --, --, --,0.81,0.00%,0.00,1.39,0.00
Enabled,"""máquinas de café profesionales""",Phrase match,MX - Food,Coffee Machines_Phrase,Limited,below first page bid,USD,1.67,749,87,136.65,11.62%,53.88%,328361389133,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_328361389133,< 10%,> 90%,19.24%,12.13%, --, --, --, --, --,1.40,0.00%,0.00,1.57,0.00
Enabled,"""proveedores de chocolate""",Phrase match,MX - Food,Food_Suppliers_Phrase,Limited,below first page bid,USD,0.97,90,13,15.69,14.44%,69.86%,363862787714,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_363862787714,17.17%,82.83%,33.33%,17.55%, --, --, --, --, --,1.16,0.00%,0.00,1.21,0.00
Enabled,"""proveedores utensilios cocina""",Phrase match,MX - Food,Food_Suppliers_Phrase,Limited,below first page bid,USD,0.76,53,7,7.34,13.21%,53.66%,404306230240,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_404306230240,< 10%,> 90%,20.00%,12.12%, --, --, --, --, --,0.81,0.00%,0.00,1.05,0.00
Enabled,"""proveedores de café""",Phrase match,MX - Food,Food_Suppliers_Phrase,Limited,below first page bid,USD,1.67,605,50,100.78,8.26%,67.98%,320212569063,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_320212569063,21.10%,77.68%, --,26.72%, --, --, --, --, --,1.67,0.00%,0.00,2.02,0.00
Enabled,"""suministros de bar""",Phrase match,MX - Food,Generic_Restaurant_Phrase,Limited,below first page bid,USD,0.76,89,5,4.24,5.62%,83.95%,387575329158,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_387575329158,< 10%,> 90%,< 10%,< 10%, --, --, --, --, --,0.53,0.00%,0.00,0.85,0.00
Enabled,"""suministros para restaurantes""",Phrase match,MX - Food,Generic_Restaurant_Phrase,Limited,below first page bid,USD,0.53,"2,280",192,256.60,8.42%,63.49%,296749308929,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_296749308929,12.79%,85.16%,34.57%,23.65%, --, --, --, --, --,0.92,0.00%,0.00,1.34,0.00
Enabled,"""proveedor médico""",Phrase match,MX - Medical,Suppliers_Phrase,Limited,below first page bid,USD,3.47,651,40,118.42,6.14%,70.64%,970575915343,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Medical_970575915343,< 10%,65.16%,34.38%,20.53%, --, --, --, --, --, --,0.00%,0.00,2.96,0.00
Enabled,"""proveedor de guantes de nitrilo""",Phrase match,MX - Medical,Gloves_Suppliers_Phrase,Limited,below first page bid,USD,2.41,66,7,11.51,10.61%,4.00%,808044523667,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Medical_808044523667,< 10%,73.22%,28.57%,< 10%, --, --, --, --, --, --,0.00%,0.00,1.64,0.00
Enabled,"""mangueras industriales""",Phrase match,MX - Industrial,Hydraulics_Phrase,Eligible,,USD,2.41,324,30,61.19,9.26%,57.64%,2247162347,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Industrial_2247162347,< 10%,76.45%,< 10%,< 10%, --, --, --, --, --, --,0.00%,0.00,2.04,0.00
Enabled,"""bombas industriales""",Phrase match,MX - Industrial,Hydraulics_Phrase,Eligible,,USD,2.41,422,32,70.75,7.58%,53.45%,304043866745,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Industrial_304043866745,< 10%,72.53%,< 10%,10.66%, --, --, --, --, --, --,0.00%,0.00,2.21,0.00
Enabled,"""discos abrasivos""",Phrase match,MX - Industrial,Abrasive Products_Phrase,Eligible,,USD,1.40,75,5,3.28,6.67%,32.35%,306317694673,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Industrial_306317694673,< 10%,77.99%,< 10%,< 10%, --, --, --, --, --, --,0.00%,0.00,0.66,0.00
Enabled,"""ropa industrial""",Phrase match,MX - Industrial,Clothing_Phrase,Eligible,,USD,1.67,425,37,51.34,8.71%,26.46%,302676136785,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Industrial_302676136785,< 10%,78.54%,< 10%,< 10%, --, --, --, --, --, --,0.00%,0.00,1.39,0.00
Enabled,"""muebles industriales""",Phrase match,MX - Industrial,Furniture_Phrase,Eligible,,USD,3.47,305,28,63.78,9.18%,25.19%,490704198912,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Industrial_490704198912,< 10%,79.31%,10.53%,10.15%, --, --, --, --, --, --,0.00%,0.00,2.28,0.00
Enabled,"""fiestas al por mayor""",Phrase match,MX - Celebrations,Bulk_Party_Phrase,Eligible,,USD,2.00,7,1,0.83,14.29%,85.71%,1458197288074,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Celebrations_1458197288074,< 10%,1.90%,< 10%,< 10%, --, --, --, --, --, --,0.00%,0.00,0.83,0.00
Enabled,[proyectores para empresas],Exact match,MX - Electronics,Camera_Exact,Limited,below first page bid,USD,3.47,14,1,3.47,7.14%,69.23%,904644731197,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_904644731197,23.08%,69.23%,35.90%,32.63%,3,3,Average,Below average,Below average,3.47,0.00%,0.00,3.47,0.00
Enabled,[teléfono móvil al por mayor],Exact match,MX - Electronics,Cell Phones_Wholesale_Exact,Limited,below first page bid,USD,1.32,7,3,3.54,42.86%,57.14%,427699643745,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_427699643745,19.05%,80.95%,33.33%,62.18%, --, --, --, --, --, --,0.00%,0.00,1.18,0.00
Enabled,"""laptops comerciales""",Phrase match,MX - Electronics,Computers_Phrase,Limited,below first page bid,USD,2.89,137,14,33.92,10.22%,36.67%,2280235883405,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_2280235883405,< 10%,89.25%,19.72%,16.93%, --, --, --, --, --,2.89,0.00%,0.00,2.42,0.00
Enabled,"""productos para eventos""",Phrase match,MX - Celebrations,Products_Phrase,Eligible,,USD,3.23,169,24,60.90,14.20%,78.31%,305602199173,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Celebrations_305602199173,< 10%,4.37%,< 10%,< 10%, --, --, --, --, --, --,0.00%,0.00,2.54,0.00
Enabled,[cámaras desechables al por mayor],Exact match,MX - Electronics,Camera_Wholesale_Exact,Limited,below first page bid,USD,2.41,5,1,2.40,20.00%,75.00%,896360979304,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_896360979304,15.79%,78.95%,21.05%,23.67%,5,5,Above average,Below average,Below average,2.01,0.00%,0.00,2.40,0.00
Enabled,"""teléfono móvil al por mayor""",Phrase match,MX - Electronics,Cell Phones_Wholesale_Phrase,Limited,below first page bid,USD,1.58,5,1,0.66,20.00%,40.00%,427815237018,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_427815237018,< 10%,> 90%, --,15.60%, --, --, --, --, --,0.92,0.00%,0.00,0.66,0.00
Enabled,"""suministro computadoras""",Phrase match,MX - Electronics,Computers_Procurement_Phrase,Limited,below first page bid,USD,2.41,95,12,24.51,12.63%,37.33%,2280235884365,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_2280235884365,< 10%,88.10%,< 10%,17.39%, --, --, --, --, --,2.41,0.00%,0.00,2.04,0.00
Enabled,"""tv para negocios""",Phrase match,MX - Electronics,Televisions_Phrase,Limited,below first page bid,USD,4.16,86,3,9.14,3.49%,54.76%,750786830130,https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_750786830130,12.64%,84.89%, --,25.95%, --, --, --, --, --,4.16,0.00%,0.00,3.05,0.00
