Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,Cost,CTR,Avg. CPC,Base max. CPC
Enabled,"""sportswear suppliers""",Phrase match,AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,Limited,below first page bid,USD,2.73,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_17455361_y179602182713,63,11,53.41,17.46%,4.86, --
Enabled,[t-shirts distributors],Exact match,AU_Generic_P-V_Apparel,Tops_Distributors_Exact,Eligible,,USD,3.93,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_567395503096_x182644071561,21,4,22.06,19.05%,5.52, --
Enabled,[shirts suppliers],Exact match,AU_Generic_P-V_Apparel,Tops_Suppliers_Exact,Limited,below first page bid,USD,5.65,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_301942247975_x182644071481,17,1,3.53,5.88%,3.53, --
Enabled,[polo shirts suppliers],Exact match,AU_Generic_P-V_Apparel,Tops_Suppliers_Exact,Limited,below first page bid,USD,5.65,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_301942247415_x182644071481,2,1,4.96,50.00%,4.96, --
Enabled,[sweaters suppliers],Exact match,AU_Generic_P-V_Apparel,Tops_Suppliers_Exact,Eligible,,USD,6.78,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_353203004569_x182644071481,1,1,2.16,100.00%,2.16, --
Enabled,"""shorts suppliers""",Phrase match,AU_Generic_P-V_Apparel,Bottoms_Suppliers_Phrase,Limited,below first page bid,USD,6.78,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_353076354719_y179602179993,19,2,7.53,10.53%,3.77, --
Enabled,"""jeans suppliers""",Phrase match,AU_Generic_P-V_Apparel,Bottoms_Suppliers_Phrase,Limited,below first page bid,USD,2.66,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_313282366931_y179602179993,24,2,5.80,8.33%,2.90, --
Enabled,[bulk women shirts],Exact match,AU_Generic_P-V_Apparel,Tops Women_Bulk_Exact,Limited,below first page bid,USD,4.16,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_407898062084_x182644074921,2,1,3.82,50.00%,3.82, --
Enabled,[bulk bath robes],Exact match,AU_Generic_P-V_Apparel,Sleepwear_Bulk_Exact,Limited,low quality,USD,7.17,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_312991677816_x182644071281,2,1,11.89,50.00%,11.89, --
Enabled,[drinks wholesaler],Exact match,AU_Generic_P-V_Food,Wholesalers_Food_Exact,Limited,low quality,USD,3.32,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_317833152134_x173370681250,16,3,21.02,18.75%,7.01, --
Enabled,"""wholesale chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,0.84,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_27995240_y173370685570,71,11,81.72,15.49%,7.43, --
Enabled,"""wholesale drinks""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Eligible,,USD,1.90,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_912824931_y173370685570,31,5,25.58,16.13%,5.12, --
Enabled,"""wholesale sweets""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,1.10,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_376333404_y173370685570#foo-serv,46,3,21.66,6.52%,7.22, --
Enabled,[wholesale chocolate],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Limited,below first page bid,USD,2.28,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_298281653946_x173370681770,11,1,2.01,9.09%,2.01, --
Enabled,"""wholesale cooking ingredients""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,3.93,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_650906735440_y173370685570,250,30,116.11,12.00%,3.87, --
Enabled,"""wholesale crisps""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Eligible,,USD,1.32,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_343978779545_y173370685570,3,2,3.00,66.67%,1.50, --
