keyword,kw_match_type,campaign,ad_group,ref_tag,kw_clicks,kw_report_cost,regs,st_total_clicks,st_total_cost,search_term_count,cpa_kw_report,reg_status
"""bulk water bottles""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,pd_sl_AU_pv_foo_2205402849_y173370684850,126,536.46,7,44,179.41,37,76.64,HAS_REGS
"""commercial serving trays""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,pd_sl_AU_pv_foo_306939701682_y173370686290,22,73.65,1,9,29.17,8,73.65,HAS_REGS
"""bulk buy water""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,pd_sl_AU_pv_foo_329589041274_y173370684850,16,65.21,1,10,39.89,10,65.21,HAS_REGS
[wholesale canned goods],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,pd_sl_AU_pv_foo_380016645117_x173370681770,16,64.59,1,14,56.1,12,64.59,HAS_REGS
[amazon for business prime],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_374151901645_x182824221727,10,64.55,1,8,26.63,5,64.55,HAS_REGS
"""wholesale event supplies""",Phrase match,AU_Generic_P-V_Celebrations,Wholesale_Phrase,pd_sl_AU_pv_celec_296882768326_y183739365252,25,117.67,2,9,33.15,8,58.84,HAS_REGS
"""cooking suppliers""",Phrase match,AU_Generic_P-V_Food,Food_Suppliers_Phrase,pd_sl_AU_pv_foo_1302577753_y173370685410,26,114.91,2,14,65.95,12,57.46,HAS_REGS
[how to create an amazon business account],Exact match,AU_Brand_Exact,Navigation_Exact,pd_sl_au_brand_core_376943159698_x182824221567,56,514.69,9,37,289.77,31,57.19,HAS_REGS
"""wholesale boxed chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,pd_sl_AU_pv_foo_1045627263830_y173370685570,6,55.92,1,3,30.92,3,55.92,HAS_REGS
[amazon business account sign in],Exact match,AU_Brand_Exact,Navigation_Exact,pd_sl_au_brand_core_366638075008_x182824221567,21,110.35,2,15,47.46,12,55.18,HAS_REGS
[amazon business prime au],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_2611426118152_x182824221727,11,53.86,1,9,30.02,3,53.86,HAS_REGS
[bulk soft drinks],Exact match,AU_Generic_P-V_Food,Drinks_Bulk_Exact,pd_sl_AU_pv_foo_317481834185_x173370678890,10,52.94,1,9,46.0,5,52.94,HAS_REGS
"""bulk seasoning""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_300646649906_y173370685170,50,208.08,4,22,87.64,21,52.02,HAS_REGS
[setup amazon business account],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_354102983953_x182824221487,12,147.42,3,7,81.28,5,49.14,HAS_REGS
"""bulk glassware""",Phrase match,AU_Generic_P-V_Food,Cultlery_Bulk_Phrase,pd_sl_AU_pv_foo_298901863905_y173370684410,21,49.01,1,10,25.22,9,49.01,HAS_REGS
"""party decorations suppliers""",Phrase match,AU_Generic_P-V_Celebrations,Party_Suppliers_Phrase,pd_sl_AU_pv_celec_510211709192_y183739365972,18,93.44,2,15,80.74,12,46.72,HAS_REGS
[how to create a business amazon account],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_376943159658_x182824221487,3,43.75,1,1,12.38,1,43.75,HAS_REGS
[commercial cake boxes],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Exact,pd_sl_AU_pv_foo_343383864948_x173370677250,21,75.88,2,17,64.52,8,37.94,HAS_REGS
"""christmas decorations wholesalers""",Phrase match,AU_Generic_P-V_Celebrations,Christmas_Wholesale_Phrase,pd_sl_AU_pv_celec_339325864204_y183739365772,6,35.14,1,5,29.0,5,35.14,HAS_REGS
"""wholesale canned goods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,pd_sl_AU_pv_foo_300421345801_y173370685570,7,32.48,1,2,7.82,2,32.48,HAS_REGS
[business prime au],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_2611426118072_x182824221727,8,32.17,1,8,32.17,2,32.17,HAS_REGS
[amazon business open account],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_315288937870_x182824221487,7,61.28,2,6,55.29,4,30.64,HAS_REGS
[party suppliers],Exact match,AU_Generic_P-V_Celebrations,Party_Suppliers_Exact,pd_sl_AU_pv_celec_101735944_x175435639102,3,30.37,1,3,30.37,1,30.37,HAS_REGS
[amazon business account au],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_2318365166105_x182824221487,69,297.49,10,23,108.61,6,29.75,HAS_REGS
"""bulk salon products""",Phrase match,AU_Generic_P-V_Beauty,Salon-Spa_Bulk_Phrase,pd_sl_AU_pv_bea_360664667645_y178961838136,9,29.31,1,2,5.78,2,29.31,HAS_REGS
[amazon prime business],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_330020978097_x182824221727,51,104.27,4,50,83.72,7,26.07,HAS_REGS
[amazon au business prime],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_2611426118352_x182824221727,16,98.38,4,13,41.78,3,24.6,HAS_REGS
[create amazon business account],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_300984984225_x182824221487,24,89.88,4,20,52.18,4,22.47,HAS_REGS
"""bulk cocktail glasses""",Phrase match,AU_Generic_P-V_Food,Glassware_Bulk_Phrase,pd_sl_AU_pv_foo_306076548380_y173370685810,3,21.67,1,1,8.04,1,21.67,HAS_REGS
[bulk shampoo],Exact match,AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Exact,pd_sl_AU_pv_bea_263635243_x181712969001,5,21.27,1,5,21.27,3,21.27,HAS_REGS
[amazon business account australia],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_927846284635_x182824221487,65,211.67,10,58,178.02,1,21.17,HAS_REGS
[amazon business account sign up],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_356593838770_x182824221487,7,41.58,2,4,28.96,3,20.79,HAS_REGS
